作者,分数,电影名,年份,类型,地区,语言,时长,评论人数,星级占比
丁英洲,7.1,你给我的喜欢,2023,剧情, 中国大陆, 汉语普通话,27618756,12049,"17.0%,33.3%,38.8%,8.5%,2.4%"
詹姆斯·卡梅隆,9.5,泰坦尼克号,1997,"剧情,爱情,灾难"," 美国 , 墨西哥"," 英语 , 意大利语 , 德语 , 俄语",194,436090,"76.5%,20.2%,3.0%,0.2%,0.1%"
黄元达,4.7,超星星学园,2016,"剧情,爱情,奇幻", 中国大陆, 汉语普通话,66,38766,"14.2%,8.4%,21.1%,9.2%,47.1%"
"亚伦·霍瓦斯,迈克尔·杰勒尼克",8.0,超级马力欧兄弟大电影,2023,"喜剧,爱情,科幻,动画,奇幻,冒险"," 美国 , 日本", 英语,92,40348,"29.5%,42.7%,24.8%,2.6%,0.3%"
宫崎骏,9.4,千与千寻,2001,"剧情,动画,奇幻", 日本, 日语,125,410528,"73.4%,23.0%,3.3%,0.2%,0.1%"
文牧野,9.0,我不是药神,2018,"剧情,喜剧", 中国大陆," 汉语普通话 , 英语 , 上海话 , 印地语",117,536318,"58.7%,33.7%,6.9%,0.5%,0.2%"
"拜伦·霍华德,瑞奇·摩尔,杰拉德·布什",9.2,疯狂动物城,2016,"喜剧,动画,冒险", 美国," 英语 , 挪威语",109,385528,"66.2%,29.1%,4.5%,0.2%,0.1%"
贾玲,7.7,你好，李焕英,2021,"剧情,喜剧,奇幻", 中国大陆, 汉语普通话,128,530416,"23.4%,45.0%,27.1%,3.6%,0.9%"
"徐纪周,冯轩,陈伟雄",8.5,狂飙,2023,"剧情,犯罪", 中国大陆, 汉语普通话,55,269193,"40.2%,45.4%,12.6%,1.3%,0.5%"
"约翰·弗朗西斯·戴利,乔纳森·戈尔茨坦",7.6,龙与地下城：侠盗荣耀,2023,"动作,奇幻,冒险"," 美国 , 加拿大", 英语,134,42846,"15.9%,51.7%,29.8%,2.3%,0.3%"
饺子,8.4,哪吒之魔童降世,2019,"剧情,喜剧,动画,奇幻", 中国大陆, 汉语普通话,110,617366,"42.4%,39.1%,15.6%,2.2%,0.8%"
"李·昂克里奇,阿德里安·莫利纳",9.1,寻梦环游记,2017,"喜剧,动画,音乐,奇幻", 美国," 英语 , 西班牙语",105,423921,"62.2%,30.4%,6.8%,0.4%,0.2%"
"陈玉珊,王为,曹华,孟凡",6.1,狼殿下,2020,古装, 中国大陆, 汉语普通话,59,199459,"27.3%,17.6%,16.2%,9.8%,29.1%"
郭帆,7.9,流浪地球,2019,"科幻,冒险,灾难", 中国大陆," 汉语普通话 , 英语 , 俄语 , 法语 , 日语 , 韩语 , 印尼语",125,716376,"34.6%,36.3%,21.6%,4.9%,2.6%"
罗伯特·泽米吉斯,9.5,阿甘正传,1994,"剧情,爱情", 美国, 英语,142,357711,"77.2%,19.8%,2.6%,0.2%,0.1%"
王晶,7.0,不止不休,2020,剧情, 中国大陆, 汉语普通话,117,37574,"11.4%,36.7%,44.6%,6.7%,0.7%"
陈凯歌,9.6,霸王别姬,1993,"剧情,爱情,同性"," 中国大陆 , 中国香港", 汉语普通话,171,449514,"82.5%,15.3%,1.9%,0.2%,0.1%"
姜秀琼,7.5,外婆的新世界,2023,"喜剧,家庭", 中国大陆, 汉语普通话,39,8827,"23.1%,41.1%,25.8%,8.5%,1.5%"
吕克·贝松,9.4,这个杀手不太冷,1994,"剧情,动作,犯罪"," 法国 , 美国"," 英语 , 意大利语 , 法语",110,386495,"73.7%,22.7%,3.3%,0.2%,0.1%"
傅东育,7.3,冰雨火,2022,"剧情,犯罪", 中国大陆, 汉语普通话,37,104509,"35.4%,20.6%,26.2%,10.3%,7.4%"
"闫非,彭大魔",7.8,夏洛特烦恼,2015,"喜剧,爱情", 中国大陆, 汉语普通话,104,255553,"28.3%,42.5%,23.3%,4.2%,1.7%"
吴锦源,5.6,有翡,2020,"剧情,武侠,古装", 中国大陆, 汉语普通话,32,192291,"20.0%,10.9%,23.2%,21.0%,25.0%"
曾晓欣,7.8,大嫁风尚,2016,"剧情,爱情", 中国大陆, 汉语普通话,62,21765,"32.3%,34.8%,25.5%,4.3%,3.1%"
彼得·威尔,9.4,楚门的世界,1998,"剧情,科幻", 美国, 英语,103,333685,"71.8%,24.6%,3.3%,0.2%,0.1%"
田晓鹏,7.3,深海,2023,"动画,奇幻", 中国大陆, 汉语普通话,112,195572,"21.7%,34.4%,31.8%,9.2%,2.9%"
涅提·蒂瓦里,9.0,摔跤吧！爸爸,2016,"剧情,家庭,传记,运动", 印度," 印地语 , 英语",161,314372,"59.5%,33.0%,6.8%,0.5%,0.2%"
周星驰,8.8,功夫,2004,"喜剧,动作,犯罪,奇幻"," 中国大陆 , 中国香港"," 粤语 , 汉语普通话 , 手语",100,137950,"53.2%,35.0%,10.8%,0.8%,0.2%"
克里斯托弗·诺兰,9.4,星际穿越,2014,"剧情,科幻,冒险"," 美国 , 英国 , 加拿大", 英语,169,441473,"74.8%,20.8%,3.7%,0.4%,0.2%"
罗伯·莱纳,9.1,怦然心动,2010,"剧情,喜剧,爱情", 美国, 英语,90,421899,"62.2%,30.5%,6.6%,0.5%,0.1%"
辛爽,8.8,隐秘的角落,2020,"剧情,悬疑,犯罪", 中国大陆, 汉语普通话,40,330161,"50.2%,39.7%,9.0%,0.8%,0.2%"
彼得·法雷里,8.9,绿皮书,2018,"剧情,喜剧,音乐,传记"," 美国 , 中国大陆"," 英语 , 意大利语 , 俄语 , 德语",130,391874,"54.9%,37.5%,7.1%,0.4%,0.1%"
拉吉库马尔·希拉尼,9.2,三傻大闹宝莱坞,2009,"剧情,喜剧,爱情,歌舞", 印度," 印地语 , 乌尔都语 , 英语",171,362862,"68.9%,25.5%,4.9%,0.5%,0.2%"
刘海波,8.1,尘封十三载,2023,"悬疑,犯罪", 中国大陆, 汉语普通话,32,34201,"28.9%,50.4%,17.7%,2.2%,0.8%"
谢泽,6.3,风起洛阳,2021,"剧情,悬疑,古装", 中国大陆, 汉语普通话,46,114579,"10.2%,24.3%,42.8%,16.6%,6.0%"
